trade_id,symbol,price,quantity,timestamp,exchange,side,broker_id
T1001,AAPL,182.32,100,2024-03-01T09:30:01,NASDAQ,BUY,BRK01
T1002,MSFT,411.05,50,2024-03-01T09:30:05,NASDAQ,SELL,BRK02
T1003,TSLA,205.67,25,2024-03-01T09:31:10,NASDAQ,BUY,BRK01
T1004,JPM,189.12,200,2024-03-01T09:32:44,NYSE,BUY,BRK03
T1005,GOOGL,140.88,10,2024-03-01T09:33:02,NASDAQ,SELL,BRK02
T1006,AAPL,-182.32,100,2024-03-01T09:34:11,NASDAQ,BUY,BRK01
T1007,MSFT,411.05,-50,2024-03-01T09:35:19,NASDAQ,SELL,BRK02
T1003,TSLA,205.67,25,2024-03-01T09:36:00,NASDAQ,BUY,BRK01
T1008,,210.11,30,2024-03-01T09:36:22,NASDAQ,BUY,BRK01
T1009,NVDA,950.25,15,March 1st 09:37,NASDAQ,BUY,BRK04
T1010,AMZN,178.44,0,2024-03-01T09:38:12,NASDAQ,BUY,BRK02
